,born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
285,14,1,0,0,0,0,0,0,7,59333
286,249,111,11,71,4,11,62,0,86,59012
287,1863,768,204,329,0,18,199,0,754,59014
288,2418,243,55,957,0,58,950,0,678,59022
289,45,20,8,0,0,0,7,0,23,59025
290,350,22,0,108,0,0,108,0,101,59031
291,365,134,24,81,0,0,36,5,138,59033
292,1366,370,52,281,1,8,251,0,546,59036
293,11542,4663,1089,2892,11,271,809,68,4212,59044
294,131,109,30,9,0,0,17,0,66,59065
295,1440,571,199,188,5,39,40,0,598,59001
296,239,112,16,67,0,32,48,0,72,59002
297,3016,1299,270,698,14,43,330,0,1104,59011
298,4268,1848,472,1103,8,124,292,18,1527,59019
299,142,67,13,22,0,4,18,0,67,59026
300,5613,1472,371,1804,48,125,1083,14,1843,59034
301,181,100,15,43,0,0,26,0,77,59035
302,417,176,26,102,2,1,83,0,144,59046
303,915,285,109,211,11,17,37,0,370,59070
304,4394,2416,295,967,0,48,779,39,1677,59072
305,302,157,24,50,0,2,33,30,131,59074
306,100,10,8,24,0,5,0,0,30,59077
307,404,135,8,87,0,5,116,0,168,59089
308,968,419,90,200,2,28,130,0,387,59324
309,2859,862,286,626,17,22,214,0,1109,59327
310,1119,371,63,265,0,1,99,0,440,59349
311,162,75,10,34,0,0,19,0,70,59351
312,14242,5798,869,2909,159,565,2620,253,5451,59401
313,31381,13097,1520,6948,491,1804,4220,762,10548,59405
314,7712,628,242,2565,21,309,2758,14,2507,59417
315,2376,878,141,434,15,76,266,14,993,59422
316,448,55,30,71,0,43,247,0,210,59456
317,41436,15055,2375,9933,246,1777,5873,400,16167,59101
318,104,23,4,17,0,0,0,0,42,59222
319,547,85,11,215,1,13,118,7,196,59225
320,532,126,29,68,3,20,110,0,224,59261
321,287,43,20,82,0,0,11,0,110,59274
322,90,53,12,17,0,0,4,0,38,59314
323,1085,143,16,344,0,44,276,0,339,59016
324,429,115,38,68,0,12,131,0,210,59032
325,1509,212,53,480,4,14,441,0,453,59050
326,276,67,27,49,0,5,43,0,119,59054
